fic,date,country,currency,mportret,mportretx
AUS,2000-07-31,AUSTRALIA,AUD,0.003009801038988291,0.002852549312597707
AUS,2000-08-31,AUSTRALIA,AUD,-0.0003205063708062728,-0.002086629208023605
AUS,2000-09-29,AUSTRALIA,AUD,-0.0177698950284626,-0.02631614159775086
AUS,2000-10-31,AUSTRALIA,AUD,0.03255084713787304,0.02861544676420635
AUS,2000-11-30,AUSTRALIA,AUD,0.03443970244019301,0.02784665775344863
AUS,2000-12-29,AUSTRALIA,AUD,-0.007493357225448749,-0.008395479797905336
AUS,2001-01-31,AUSTRALIA,AUD,0.02957278394949947,0.02952579032062963
AUS,2001-02-28,AUSTRALIA,AUD,-0.01255714184001322,-0.01554412152127693
AUS,2001-03-30,AUSTRALIA,AUD,-0.03157841777895132,-0.03796652542927093
AUS,2001-04-30,AUSTRALIA,AUD,0.04027221005577597,0.03927209533137455
AUS,2001-05-31,AUSTRALIA,AUD,0.02607789051702314,0.02430101963087639
AUS,2001-06-29,AUSTRALIA,AUD,0.02520317356399393,0.02001125325338093
AUS,2001-07-31,AUSTRALIA,AUD,-0.0538701053574252,-0.0541103942681288
AUS,2001-08-31,AUSTRALIA,AUD,0.007221179835554592,0.004176920075838808
AUS,2001-09-28,AUSTRALIA,AUD,-0.04981809914426472,-0.05605941149841676
AUS,2001-10-31,AUSTRALIA,AUD,0.06044360443468633,0.05829447163156498
AUS,2001-11-30,AUSTRALIA,AUD,0.03522382970591265,0.02956395296497871
AUS,2001-12-31,AUSTRALIA,AUD,0.02100233332198487,0.01988301114201363
AUS,2002-01-31,AUSTRALIA,AUD,0.02735785671234336,0.02731325043277466
AUS,2002-02-28,AUSTRALIA,AUD,-0.0018319390110898,-0.004357868724663705
AUS,2002-03-28,AUSTRALIA,AUD,0.005198809659855197,-0.001914156495317898
AUS,2002-04-30,AUSTRALIA,AUD,-0.01430197670403899,-0.01542447215554121
AUS,2002-05-31,AUSTRALIA,AUD,-0.0002037861063343138,-0.001751574768225517
AUS,2002-06-27,AUSTRALIA,AUD,-0.0267563287945618,-0.03193287644787701
AUS,2002-07-31,AUSTRALIA,AUD,-0.0378156425170485,-0.04194791297246814
AUS,2002-08-30,AUSTRALIA,AUD,0.01620786579101297,0.01246098904883208
AUS,2002-09-30,AUSTRALIA,AUD,-0.039544643831669,-0.04692224970194614
AUS,2002-10-31,AUSTRALIA,AUD,0.01212584579317433,0.00939395285639888
AUS,2002-11-29,AUSTRALIA,AUD,-0.005521155332501193,-0.01074858582231364
AUS,2002-12-31,AUSTRALIA,AUD,-0.009940389889125933,-0.01869581030093292
AUS,2003-01-31,AUSTRALIA,AUD,-0.01397943327548867,-0.01410198125870865
